Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
11/21/2020,1235,10,10,163,286,235,186,162,110,63,30,0,631,601,3,334,41,143,231,53,433,0,0,0,0,0,3,1,6,0,6,4,0,0,2,3,4,0,1,0,0,1,3,1,2,0,3,0,7,3,0,2,0,4,2,2,0
08/27/2020,373,2,28,39,127,74,58,32,24,10,9,0,202,168,3,176,6,59,75,18,39,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,0,0,0,4,3,7,2,4,5,3,0,20,8,0,10,0,7,6,3,2
05/14/2020,776,45,130,49,167,152,132,108,95,43,30,0,396,368,12,328,13,160,73,34,168,1,0,4,1,5,5,7,22,0,22,23,0,13,4,21,6,1,0,2,8,9,14,18,39,26,14,0,56,74,0,47,3,47,17,10,6
10/11/2020,288,4,33,21,88,58,39,36,30,9,7,0,119,168,1,82,7,47,96,11,45,0,0,0,0,1,1,0,2,0,0,4,0,2,0,1,1,0,0,0,2,4,7,4,6,4,6,0,16,17,0,8,1,8,9,1,6
06/01/2020,236,21,63,21,51,35,34,35,17,17,26,0,136,99,1,87,8,50,36,12,43,0,0,0,1,2,4,4,10,0,12,9,0,6,1,10,3,0,1,2,4,11,6,9,7,11,13,0,28,35,0,18,1,27,11,1,5
03/18/2020,162,1,40,2,31,32,40,23,18,11,5,0,80,82,0,19,8,64,62,3,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,6,8,9,9,6,0,12,28,0,6,3,23,7,0,1
07/16/2020,295,2,27,27,87,67,42,31,22,10,9,0,155,139,1,93,3,78,57,12,52,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,1,0,0,0,8,2,5,4,3,3,2,0,13,14,0,8,1,12,4,1,1
08/08/2020,177,3,16,22,56,27,32,18,14,3,5,0,94,81,2,66,6,39,36,7,23,0,0,0,1,1,0,1,0,0,0,3,0,2,0,1,0,0,0,0,1,1,2,4,3,2,3,0,6,10,0,8,1,5,2,0,0
03/23/2020,291,3,107,4,46,56,53,56,30,35,11,0,141,150,0,38,13,135,74,11,20,1,1,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,1,5,16,13,18,18,26,10,0,51,55,1,17,5,67,12,5,1
08/30/2020,100,4,22,11,24,16,18,14,8,4,5,0,49,50,1,27,1,22,31,4,15,0,0,0,0,0,0,3,1,0,3,1,0,1,0,3,0,0,0,2,2,1,2,4,4,2,5,0,8,13,1,6,0,9,5,0,2
